"runoff","rain","snow","etact"
882904652.30716,0,807002787.5,696048890.625
865687006.194384,0,73017912.5,697668658.125
849153326.492684,0,16428350,832727673.862469
833394416.115927,0,0,949535894.021573
818399372.926836,0,0,576079554.889041
804186214.023026,0,0,585436814.982852
790735940.573308,0,0,1279378769.88131
777945715.83152,0,8216175,709693180.081934
765719142.773026,0,0,821963445.666247
756315248.936783,0,0,1513477219.92251
747874106.43365,0,0,1145135754.27474
740219627.759691,0,0,806914823.378363
731313404.706546,5879342.02083334,67715901.7291667,681405721.224407
726314407.570418,0,0,672988123.889718
725805534.701576,593336253.427083,1018050427.82292,627892769.3125
731394126.762025,175825925.802083,437809461.697916,425115860.8125
731394126.762025,0,0,965745715.875
746572909.193311,0,0,514161850.621139
758981797.109201,1098166919.9375,3285566930.0625,722665301.5625
758981797.109201,7594060462.47916,11659564118.7708,430155524.0625
833530782.773242,2282337557.47917,5263583130.02083,504129869.5625
968244016.425401,13570027329.6979,39180479820.3021,605002043.375
1025835102.08683,116384014.177083,1153852054.57292,748647331.75
1148863098.8021,1863161784.09375,20732471547.1562,350706137.1875
1148863098.8021,307139048.291667,89062639.2083333,971660883.0625
1639553090.34329,7828691882.34375,12696263998.9062,608621375.25
1840086961.34623,795229604.729165,1499130051.52083,397232158.5
2058841779.88109,360693302.875,797813915.875,698425783.875
2269985019.69632,359631.458333333,58674024.7916667,580650603.0625
2475916840.17049,0,0,794272031.3125
2700078424.14477,165896306.770833,756849.479166667,1525735347.3125
3126658553.78301,3337987879.625,289270770.375,761511275.0625
3537709930.50635,70165038.9166666,274624811.083333,546058607.8125
3808467353.82437,0,26196537.5,1158251391.0625
3911615547.63798,0,2378906.25,1291920328.5625
3899119478.49022,0,0,1498466391.5
3819725257.4086,0,0,1375908457.125
3710833153.88231,0,0,2140438062.3125
3602589325.95665,0,0,2137830758.9375
3485612084.2556,0,0,1377681769
3354008194.16627,0,0,1465183186.875
3209834290.40094,0,0,1155998606.9375
3060818892.33511,0,0,888394011.5
2909693729.05266,0,0,1523802177.625
2762284249.37805,0,342187.5,1074211614.4375
2622441568.74082,21158057.3854167,140684842.614583,1425453579.5
2508505185.69006,2290936784.625,13586542459.125,1016185910
2401530749.42619,21595582.4375,486683630.0625,975378547.625
2309541390.73655,967226764.416666,3664809248.08333,1792653309.875
2250963431.99396,4518125958.79167,12551474097.4583,877548728.4375
2217406568.17729,1905529.58333333,39539470.4166667,1325012266.4375
2198681041.59413,0,38775550,1817363572.125
2187882721.37095,431156.25,2443218.75,1447238794.6875
2169565468.33705,321229.4375,15744501.8125,2203644115.0625
2137184939.54907,0,0,2459342772.1875
2091155685.21457,0,0,2032717304.5
2034683319.59908,0,0,1864091726.8125
1971112680.6631,0,0,2380963578.5
1903503943.58802,0,0,2474199354.25
1834399364.97519,0,0,1739843384.25
1765433406.27651,0,19154762.5,1766162097.125
1698705689.10989,0,219612118.75,1266814438.75
1634512935.68332,0,207801887.5,1204012899.25
1573362431.47489,0,70303012.5,1430263790.125
1515525918.07051,0,24217950,946878734
1461103945.27446,0,12320806.25,1083773528.75
1410127454.28092,0,0,1508439239.125
1362260719.5076,0,0,1992246703.125
1317443364.74144,0,0,1978528316.71737
1275512975.9899,0,0,1973326556.53184
1236230718.95768,0,0,2405344922.97836
1199452010.44975,0,0,2832855843.91971
1164966283.08684,531900780.510417,283255569.489583,2603667470.10577
1136169734.35731,8606100464.45833,3537593460.54167,985528305.5
1119583475.62927,3455050677.29167,11055390903.9583,630371767.5
1103033335.27026,0,0,1984582603.375
1090768288.32541,67025025.1041666,28940399.8958333,2088365174.875
1271305013.32998,36051094517.9792,23533789844.5208,941121225.375
1526182061.4658,13166228264.1354,5006605367.11459,902105525.125
3331072442.98825,69244832321.1354,18734652516.3645,784030972.5
6118055522.37381,11073078347.8854,34361022033.3646,638458069.75
7984716235.74881,370845509.833333,674110808.916667,1093748659.25
9094978568.99558,9310212.81250001,28515662.1875,1666346508.375
9327734890.62592,0,0,2164637136.375
8905055745.50602,245969853.145833,472746671.854166,2639787276.875
8153153382.38253,2429564187.42708,6060553812.57292,1213228023.125
7292873322.32978,0,74405893.75,2384964921.875
6448929762.96949,0,0,2504368370.625
5681392858.01715,0,0,2339887633.625
5010963967.83531,0,0,2679066333
4439795409.49852,0,0,2014653876.5
3958805534.18978,0,0,2601656776.25
3556728889.48339,100465480.65625,18223375.59375,2640884861.3125
3337427557.38835,30917913367.2188,7932503270.28125,938932274.5
3304492750.15313,12770455440.5,2035012353.25,1330680215.625
3369015009.25383,3426868943.45833,236700094.041667,1869886433.5
3499551445.53309,131391537.5,0,2971497289.5
3655547406.78176,619794649.697917,1897025.30208333,2296914900.0625
3811155341.266,4387065366.95833,3959533.04166667,2225241341.1875
3952193471.57302,41524293.75,0,2353361774.625
4075911493.60778,0,0,3483403415.0625
4184821755.62425,1125457389.875,78010.1250000001,3250582300.1875
4276761984.49232,0,0,4046168648.8125
4349180426.62447,0,0,4300199945.875
4401882858.45352,0,0,4974395989.75
4436439503.59335,0,0,3877041245.0625
4454901195.66799,58679687.5,0,3840540481.6875
4459385263.54151,3350069078.36458,114035152.885417,1322803635.9375
4447843426.80687,3700750,0,3507836643
4414241040.12095,14829625,0,3555847390.625
4352062003.80676,0,0,3744469383.9375
4258267992.90367,2391875,0,2011506870.8125
4135891021.62863,755964818.75,0,3660327350
4350063573.21417,72739223087.5,0,1624702476.5
4828141955.74171,230084613.71875,340257817.53125,1939154662
5602377610.03989,0,0,3994849203.125
6464364506.76801,141819950,0,4224226808.9375
7113371449.0935,11939167551.8125,547342416.9375,854640080.75
7351861024.15125,28514806.25,0,3274447417
7207044433.8767,13910038043.75,0,1750400392.1875
7657045254.04114,64320119987.5,0,1203645512
8203657034.85199,7713503533.5,43019191.5,1029870825
8960703690.26115,17084164259.375,193839771.875,2737004423.125
9411495971.49394,273998010.5625,20732495.6875,1830320850.25
9533773079.36535,5580804925.5,234912187,1468678924.5
9291133614.74816,683087677.1875,622616.5625,4052665834.375
8753303503.92591,0,0,5361407804.75
8038203429.99055,500160075,0,3117178710.75
7253489988.12783,941300356.25,0,5399764110.75
6478659003.13127,767644443.75,0,5403941644.375
5778741802.99412,4319156612.5,0,6375290093.625
5308929573.0469,17242387887.5,0,1538567554
4809438258.51915,5964248493.75,0,3275412876
4400802417.42676,10414224825,0,3189002166.25
4072765918.38311,1385774225,0,5571087205.625
3806329819.4398,708668112.5,0,4333330669
3587203077.23178,5006988412.5,0,2846935307
3401428685.50694,5071346537.5,0,4056397356.5
3235899136.3706,384556468.75,0,5003514717.375
3082320475.30339,1492627268.75,0,4517600857.125
2951772678.46052,11857100900,0,2084160295.25
2831052857.80971,612547431.25,0,4370337511
2720738293.17594,2215938062.5,0,1971473043.375
2657740376.66589,22993491112.5,0,2907299784.875
2628219151.80352,15294615449.6875,79608125.3125,1910194703.75
2786889263.27391,26607630889.2083,214024092.041667,2161126469.375
3201725848.8271,23826615898.3958,167949595.354167,3886397787.375
3593148804.1142,1839130001.58333,111326504.666667,2578710466.375
4004832452.02192,1492600899.46875,390443656.78125,1559431129
4338926307.70549,0,0,5487447802.375
4532421922.97844,0,0,6344685598.875
4573802231.27321,57099268.75,0,5842195899.5
4509687094.88732,11392165543.75,0,5477308010.8125
4382331069.81554,14747274356.25,0,4388798812.6875
4213912635.80901,2442424743.75,0,4818035715.0625
4095941642.36329,16289362250,0,6923381281.8125
4201275184.7632,33201739500,0,3406095577.625
4357578142.39783,2279986737.5,0,3309725430.375
4474941364.38075,46722368.75,0,5044323174.5625
4512791920.56253,2201856306.25,0,6366417924.875
5000387419.63268,48469246881.25,0,2730836962.5
5441001809.88623,10479224600,0,3061521464.9375
5815827619.89813,6428155064.76042,127897128.989583,2600468894.625
6049840322.64143,342187.5,0,5058869144.6875
6107683812.7034,15612643.75,0,5932821742.5
6171498270.13316,38780977912.5,0,1686493515.75
6221968822.20406,6198248106.25,0,4426276053.125
6231249624.95749,0,0,5389812111.3125
6171611922.50423,65530750,0,7192345329
6021555538.51839,26170425,0,5647441731.9375
5772689515.00898,1808625,0,6280739886.875
5435137252.39853,0,0,9608563797
5035640297.80827,0,0,8527542761.5
4608459980.66949,0,0,8300610661.75
4182887390.46192,1686489800,0,7607161086.77169
3781062459.86132,1400765281.25,0,4800029203.64069
3423995598.08208,20329102525,0,4760172458.75
3114140176.53313,4890349537.5,0,5647296383.12085
2851613054.44227,0,0,5434379529.51764
2635016999.86264,342187.5,0,7036044293.03435
2459393925.28142,0,0,7951982898.38947
2317413075.03795,73099156.25,0,5810153110.35392
2200929110.83633,0,0,7087319376.41738
2101957626.99237,0,0,6951046766.53232
2013553324.37727,0,0,6379287626.35402
1930819744.09158,639190387.5,0,6035676470.58407
1930863391.77012,40677506743.75,0,2856155764.125
1986159521.78657,9940004625,0,3853731001.53197
2053909813.32087,44120012.5,0,5843090790.13457
2117443262.2584,0,0,7788471031.72521
2153983515.29994,554564406.25,0,7495804371.37728
2151577359.04765,4102020168.75,0,7583800834.20933
2110421888.35228,2397926112.5,0,7737703707.5154
2038656483.35617,1786361968.75,0,6750772862.77608
1947327262.84721,281414031.25,0,6174500742.38105
1846585954.60134,773410212.5,0,6115043711.51443
1743733344.31697,0,0,7590802830.40535
1644469371.70204,22656762.5,0,6546666536.55338
1557459862.14735,20371215581.25,0,4121457092.04944
1483891809.56987,13820207243.75,0,6430205151.71271
1419065598.59996,0,0,6662427080.81407
1363879708.5651,0,0,6350077573.15269
1318220130.7134,663089118.75,0,5842507894.0946
1281587040.2164,0,0,5351113876.94285
1252595025.12673,461885612.5,0,4217395638.36492
1229082509.31924,0,0,4697646276.50715
1208559645.58162,0,0,5713359021.88265
1188510472.02986,0,0,5573844175.53764
1167080553.85135,36630593.75,0,5365700505.3502
1143109626.63598,0,0,5318570689.55601
1116262209.42165,0,0,5441408283.34008
1086868845.8285,0,0,5368415108.27647
1055593899.39648,0,0,4361335885.40205
1023194093.40613,8371562.5,0,5573521966.39972
990550243.825926,0,0,4689577171.98339
958766744.715355,1673387450,0,4235023785.23333
927977722.813391,0,0,4292444616.91019
898836806.850912,4643062.5,0,3209551004.14326
872483054.785162,6377034881.25,0,5181087443.06561
848517784.724811,2522613393.75,0,1854619122.94313
826680111.684507,808027781.25,0,1793263953.97128
806707693.60733,0,0,3807739779.8134
788563338.755674,338009418.75,0,3538408014.69854
772869281.921052,8659766950,0,1489033048.01287
759031815.24296,0,0,4514523680.73398
